Keyword,Match Type,Campaign / List,Notes
job,Broad,All Campaigns,Job / Career (not buyers)
"""job""",Phrase,All Campaigns,Job / Career (not buyers)
jobs,Broad,All Campaigns,Job / Career (not buyers)
"""jobs""",Phrase,All Campaigns,Job / Career (not buyers)
career,Broad,All Campaigns,Job / Career (not buyers)
"""career""",Phrase,All Campaigns,Job / Career (not buyers)
careers,Broad,All Campaigns,Job / Career (not buyers)
"""careers""",Phrase,All Campaigns,Job / Career (not buyers)
hire,Broad,All Campaigns,Job / Career (not buyers)
"""hire""",Phrase,All Campaigns,Job / Career (not buyers)
hiring,Broad,All Campaigns,Job / Career (not buyers)
"""hiring""",Phrase,All Campaigns,Job / Career (not buyers)
salary,Broad,All Campaigns,Job / Career (not buyers)
"""salary""",Phrase,All Campaigns,Job / Career (not buyers)
internship,Broad,All Campaigns,Job / Career (not buyers)
"""internship""",Phrase,All Campaigns,Job / Career (not buyers)
work at,Broad,All Campaigns,Job / Career (not buyers)
"""work at""",Phrase,All Campaigns,Job / Career (not buyers)
work for,Broad,All Campaigns,Job / Career (not buyers)
"""work for""",Phrase,All Campaigns,Job / Career (not buyers)
employee,Broad,All Campaigns,Job / Career (not buyers)
"""employee""",Phrase,All Campaigns,Job / Career (not buyers)
apply,Broad,All Campaigns,Job / Career (not buyers)
"""apply""",Phrase,All Campaigns,Job / Career (not buyers)
free download,Broad,All Campaigns,Free / Cracked (non-buyers)
"""free download""",Phrase,All Campaigns,Free / Cracked (non-buyers)
crack,Broad,All Campaigns,Free / Cracked (non-buyers)
"""crack""",Phrase,All Campaigns,Free / Cracked (non-buyers)
cracked,Broad,All Campaigns,Free / Cracked (non-buyers)
"""cracked""",Phrase,All Campaigns,Free / Cracked (non-buyers)
pirate,Broad,All Campaigns,Free / Cracked (non-buyers)
"""pirate""",Phrase,All Campaigns,Free / Cracked (non-buyers)
torrent,Broad,All Campaigns,Free / Cracked (non-buyers)
"""torrent""",Phrase,All Campaigns,Free / Cracked (non-buyers)
nulled,Broad,All Campaigns,Free / Cracked (non-buyers)
"""nulled""",Phrase,All Campaigns,Free / Cracked (non-buyers)
keygen,Broad,All Campaigns,Free / Cracked (non-buyers)
"""keygen""",Phrase,All Campaigns,Free / Cracked (non-buyers)
serial key,Broad,All Campaigns,Free / Cracked (non-buyers)
"""serial key""",Phrase,All Campaigns,Free / Cracked (non-buyers)
license key free,Broad,All Campaigns,Free / Cracked (non-buyers)
