Type,Campaign,Ad Group,Match Type,Keyword / Ad Element,Value,Max CPC,Status,Final URL
Campaign,RankerToolAI - AI Tool Reviews,,,,,,Enabled,
Campaign Budget,RankerToolAI - AI Tool Reviews,,,Daily Budget,10.0,,,
Ad Group,RankerToolAI - AI Tool Reviews,Julius AI Review,,,,,Enabled,
Keyword,RankerToolAI - AI Tool Reviews,Julius AI Review,Exact,julius ai review,,2.0,Enabled,
Keyword,RankerToolAI - AI Tool Reviews,Julius AI Review,Exact,julius ai reviews 2026,,2.0,Enabled,
Keyword,RankerToolAI - AI Tool Reviews,Julius AI Review,Exact,is julius ai worth it,,2.2,Enabled,
Keyword,RankerToolAI - AI Tool Reviews,Julius AI Review,Exact,julius ai pros and cons,,1.8,Enabled,
Keyword,RankerToolAI - AI Tool Reviews,Julius AI Review,Exact,julius ai pricing,,1.6,Enabled,
Keyword,RankerToolAI - AI Tool Reviews,Julius AI Review,Phrase,julius ai review,,1.5,Enabled,
Keyword,RankerToolAI - AI Tool Reviews,Julius AI Review,Phrase,julius ai honest review,,1.8,Enabled,
Keyword,RankerToolAI - AI Tool Reviews,Julius AI Review,Phrase,best julius ai plan,,1.4,Enabled,
Headline 1,RankerToolAI - AI Tool Reviews,Julius AI Review,,Julius AI Review 2026,,,,https://rankertoolai.com/lp/julius-ai/
Headline 2,RankerToolAI - AI Tool Reviews,Julius AI Review,,Is Julius AI Worth It? (9.2/10,,,,https://rankertoolai.com/lp/julius-ai/
Headline 3,RankerToolAI - AI Tool Reviews,Julius AI Review,,Honest Julius AI Review,,,,https://rankertoolai.com/lp/julius-ai/
Headline 4,RankerToolAI - AI Tool Reviews,Julius AI Review,,Julius AI — Expert Score: 9.2/,,,,https://rankertoolai.com/lp/julius-ai/
Headline 5,RankerToolAI - AI Tool Reviews,Julius AI Review,,We Tested Julius AI for 100hrs,,,,https://rankertoolai.com/lp/julius-ai/
Headline 6,RankerToolAI - AI Tool Reviews,Julius AI Review,,"Julius AI Pros, Cons & Pricing",,,,https://rankertoolai.com/lp/julius-ai/
Headline 7,RankerToolAI - AI Tool Reviews,Julius AI Review,,Unbiased AI Tool Reviews,,,,https://rankertoolai.com/lp/julius-ai/
Headline 8,RankerToolAI - AI Tool Reviews,Julius AI Review,,Expert-Tested AI Tools,,,,https://rankertoolai.com/lp/julius-ai/
Headline 9,RankerToolAI - AI Tool Reviews,Julius AI Review,,Try Julius AI Risk-Free,,,,https://rankertoolai.com/lp/julius-ai/
Headline 10,RankerToolAI - AI Tool Reviews,Julius AI Review,,Julius AI Free Trial Available,,,,https://rankertoolai.com/lp/julius-ai/
Headline 11,RankerToolAI - AI Tool Reviews,Julius AI Review,,No Affiliate Bias,,,,https://rankertoolai.com/lp/julius-ai/
Headline 12,RankerToolAI - AI Tool Reviews,Julius AI Review,,Updated July 2026,,,,https://rankertoolai.com/lp/julius-ai/
Headline 13,RankerToolAI - AI Tool Reviews,Julius AI Review,,Is Julius AI Right For You?,,,,https://rankertoolai.com/lp/julius-ai/
Headline 14,RankerToolAI - AI Tool Reviews,Julius AI Review,,See Full Julius AI Breakdown,,,,https://rankertoolai.com/lp/julius-ai/
Headline 15,RankerToolAI - AI Tool Reviews,Julius AI Review,,Julius AI — Real User Rating,,,,https://rankertoolai.com/lp/julius-ai/
Description 1,RankerToolAI - AI Tool Reviews,Julius AI Review,,"We spent 100+ hours testing Julius AI. Score: 9.2/10. See full breakdown of features, pric",,,,
Description 2,RankerToolAI - AI Tool Reviews,Julius AI Review,,"Independent Julius AI review by AI tool experts. No bias. Pros, cons, pricing — everything",,,,
Description 3,RankerToolAI - AI Tool Reviews,Julius AI Review,,Compare Julius AI with alternatives. Updated weekly. Find the best AI tool for your needs ,,,,
Description 4,RankerToolAI - AI Tool Reviews,Julius AI Review,,"Julius AI review: who should use it, how much it costs, and whether it's worth the money i",,,,
Display URL Path 1,RankerToolAI - AI Tool Reviews,Julius AI Review,,Review,,,,
Display URL Path 2,RankerToolAI - AI Tool Reviews,Julius AI Review,,Julius-AI,,,,
Ad Group,RankerToolAI - AI Tool Reviews,Mangools Review,,,,,Enabled,
Keyword,RankerToolAI - AI Tool Reviews,Mangools Review,Exact,mangools review,,2.0,Enabled,
Keyword,RankerToolAI - AI Tool Reviews,Mangools Review,Exact,mangools reviews 2026,,2.0,Enabled,
Keyword,RankerToolAI - AI Tool Reviews,Mangools Review,Exact,is mangools worth it,,2.2,Enabled,
Keyword,RankerToolAI - AI Tool Reviews,Mangools Review,Exact,mangools pros and cons,,1.8,Enabled,
Keyword,RankerToolAI - AI Tool Reviews,Mangools Review,Exact,mangools pricing,,1.6,Enabled,
Keyword,RankerToolAI - AI Tool Reviews,Mangools Review,Phrase,mangools review,,1.5,Enabled,
Keyword,RankerToolAI - AI Tool Reviews,Mangools Review,Phrase,mangools honest review,,1.8,Enabled,
Keyword,RankerToolAI - AI Tool Reviews,Mangools Review,Phrase,best mangools plan,,1.4,Enabled,
Headline 1,RankerToolAI - AI Tool Reviews,Mangools Review,,Mangools Review 2026,,,,https://rankertoolai.com/lp/mangools/
Headline 2,RankerToolAI - AI Tool Reviews,Mangools Review,,Is Mangools Worth It? (8.7/10),,,,https://rankertoolai.com/lp/mangools/
Headline 3,RankerToolAI - AI Tool Reviews,Mangools Review,,Honest Mangools Review,,,,https://rankertoolai.com/lp/mangools/
Headline 4,RankerToolAI - AI Tool Reviews,Mangools Review,,Mangools — Expert Score: 8.7/1,,,,https://rankertoolai.com/lp/mangools/
Headline 5,RankerToolAI - AI Tool Reviews,Mangools Review,,We Tested Mangools for 100hrs,,,,https://rankertoolai.com/lp/mangools/
Headline 6,RankerToolAI - AI Tool Reviews,Mangools Review,,"Mangools Pros, Cons & Pricing",,,,https://rankertoolai.com/lp/mangools/
Headline 7,RankerToolAI - AI Tool Reviews,Mangools Review,,Unbiased AI Tool Reviews,,,,https://rankertoolai.com/lp/mangools/
Headline 8,RankerToolAI - AI Tool Reviews,Mangools Review,,Expert-Tested AI Tools,,,,https://rankertoolai.com/lp/mangools/
Headline 9,RankerToolAI - AI Tool Reviews,Mangools Review,,Try Mangools Risk-Free,,,,https://rankertoolai.com/lp/mangools/
Headline 10,RankerToolAI - AI Tool Reviews,Mangools Review,,Mangools Free Trial Available,,,,https://rankertoolai.com/lp/mangools/
Headline 11,RankerToolAI - AI Tool Reviews,Mangools Review,,No Affiliate Bias,,,,https://rankertoolai.com/lp/mangools/
Headline 12,RankerToolAI - AI Tool Reviews,Mangools Review,,Updated July 2026,,,,https://rankertoolai.com/lp/mangools/
Headline 13,RankerToolAI - AI Tool Reviews,Mangools Review,,Is Mangools Right For You?,,,,https://rankertoolai.com/lp/mangools/
Headline 14,RankerToolAI - AI Tool Reviews,Mangools Review,,See Full Mangools Breakdown,,,,https://rankertoolai.com/lp/mangools/
Headline 15,RankerToolAI - AI Tool Reviews,Mangools Review,,Mangools — Real User Rating,,,,https://rankertoolai.com/lp/mangools/
Description 1,RankerToolAI - AI Tool Reviews,Mangools Review,,"We spent 100+ hours testing Mangools. Score: 8.7/10. See full breakdown of features, prici",,,,
Description 2,RankerToolAI - AI Tool Reviews,Mangools Review,,"Independent Mangools review by AI tool experts. No bias. Pros, cons, pricing — everything ",,,,
Description 3,RankerToolAI - AI Tool Reviews,Mangools Review,,Compare Mangools with alternatives. Updated weekly. Find the best AI tool for your needs a,,,,
Description 4,RankerToolAI - AI Tool Reviews,Mangools Review,,"Mangools review: who should use it, how much it costs, and whether it's worth the money in",,,,
Display URL Path 1,RankerToolAI - AI Tool Reviews,Mangools Review,,Review,,,,
Display URL Path 2,RankerToolAI - AI Tool Reviews,Mangools Review,,Mangools,,,,
Ad Group,RankerToolAI - AI Tool Reviews,SE Ranking Review,,,,,Enabled,
Keyword,RankerToolAI - AI Tool Reviews,SE Ranking Review,Exact,se ranking review,,2.0,Enabled,
Keyword,RankerToolAI - AI Tool Reviews,SE Ranking Review,Exact,se ranking reviews 2026,,2.0,Enabled,
Keyword,RankerToolAI - AI Tool Reviews,SE Ranking Review,Exact,is se ranking worth it,,2.2,Enabled,
Keyword,RankerToolAI - AI Tool Reviews,SE Ranking Review,Exact,se ranking pros and cons,,1.8,Enabled,
Keyword,RankerToolAI - AI Tool Reviews,SE Ranking Review,Exact,se ranking pricing,,1.6,Enabled,
Keyword,RankerToolAI - AI Tool Reviews,SE Ranking Review,Phrase,se ranking review,,1.5,Enabled,
Keyword,RankerToolAI - AI Tool Reviews,SE Ranking Review,Phrase,se ranking honest review,,1.8,Enabled,
Keyword,RankerToolAI - AI Tool Reviews,SE Ranking Review,Phrase,best se ranking plan,,1.4,Enabled,
Headline 1,RankerToolAI - AI Tool Reviews,SE Ranking Review,,SE Ranking Review 2026,,,,https://rankertoolai.com/lp/se-ranking/
Headline 2,RankerToolAI - AI Tool Reviews,SE Ranking Review,,Is SE Ranking Worth It? (8.5/1,,,,https://rankertoolai.com/lp/se-ranking/
